ticker,name,exchange,is_active
CCJ,CAMECO CORP,NYSE,Y
CCK,CROWN HLDGS INC,NYSE,Y
CCL,CARNIVAL CORP,NYSE,Y
CCLAY,COCA-COLA AMATI,OTC,Y
CCLG,CYCLELOGIC INC,,N
CCLP,CSI COMPRESSCO,NSDQ,Y
CCM,CONCORD MED-ADR,NYSE,Y
CCMC2,CONCENTRA MANGD,,N
CCME,CHINA MEDIAEXPR,,N
CCMP,CABOT MICROELEC,NSDQ,Y
CCMTF,CABLETEL COMMUN,OTC,N
CCN,CARDCONNECT CP,NSDQ,N
CCN.,CHRIS-CRAFT IND,,N
CCNE,CNB FINL CP PA,NSDQ,Y
CCO,CLEAR CHANL OUT,NYSE,Y
CCOEY,CAPCOM CO-LTD,OTC,Y
CCOHY,CHINA ST CONSTR,OTC,Y
CCOI,COGENT COMM HLD,NSDQ,Y
CCOM,CCOM GROUP INC,OTCBB,Y
CCON.,CIRCON CORP,,N
CCOWQ,CAPITAL CP WEST,,N
CCOZY,CHINA COAL EGY,OTC,Y
CCP,CARE CAP PROPRT,NYSE,N
CCP.,CCP INSURANCE,,N
CCR,CONSOL COAL RES,NYSE,Y
CCRC,CHINA CUSTOMER,NSDQ,Y
CCRD.,CONCORD COMMUN,,N
CCRN,CROSS COUNTRY,NSDQ,Y
CCRO.,CLINTRIALS RESH,,N
CCS,CENTURY COMMUNT,NYSE,Y
CCS.,CASTLE &CKE-NEW,,N
CCSC,COUNTRY STY-ADR,NYSE,N
CCSC.,COHERENT COMMUN,,N
CCSI,CHROMATICS CLR,OTC,N
CCT,CORPORATE CAPTL,NYSE,N
CCT.,CAPSTONE CAP CP,,N
CCTI.,COOPER & CHYAN,,N
CCTR,CHINA CRESCENT,OTC,Y
CCTVY,CARLTON COM PLC,,N
CCTX,CONCENTREX INC,,N
CCTYQ,CIRCUIT CITY GP,,N
CCU,CERV UNIDAS-ADR,NYSE,Y
CCU.,CLEAR CHANNEL,,N
CCUR,CCUR HOLDINGS,OTC,Y
CCX,CHURCHILL CAP,NYSE,Y
CCXI,CHEMOCENTRYX,NSDQ,Y
CCXL,CONTEL CELLULAR,,N
CCYG,CELLCYTE GEN CP,OTC,N
CDAT,CONTROL DATA SY,,N
CDAY,CERIDIAN HCM,NYSE,Y
CDB.B,CANANDAIGUA -B,,N
CDBT,CHINA DASHENG,OTC,Y
CDCAQ,CDC CORP,OTC,N
CDCM,CAREDATA.COM,,N
CDCO,COMDISCO HLDG,OTC,N
CDCO.,CIDCO INC,,N
CDCR,CHILDRNS DISCVY,,N
CDCSY,CDC SOFTWAR-ADR,,N
CDCY,COMPUDYNE CORP,,N
CDD.2,CORDANT TECH,,N
CDDDQ,CONSTELLATN 3D,,N
CDE,COEUR MINING,NYSE,Y
CDEN,COAST DENTAL,,N
CDEV,CENTENNIAL RES,NSDQ,Y
CDEVY,CITY DEVS ADR,OTC,Y
CDEX,CEDX INC CL A,OTC,N
CDG.,CLIFFS DRILLING,,N
CDGD,CAMBRIDGE HLDG,OTC,N
CDI,CDI CORP,NYSE,N
CDIC,CARDIODYN INTL,,N
CDIIQ,CD INTL ENTRPRS,OTC,Y
CDIR,CONCEPTS DIRECT,OTC,N
CDK,CDK GLOBAL INC,NSDQ,Y
CDKG,CHINA DU KANG,OTC,N
CDLX,CARDLYTICS INC,NSDQ,Y
CDLX.,CODDLE CREEK FN,,N
CDMO,AVID BIOSERVICS,NSDQ,Y
CDMS,CADMUS COMM,,N
CDNA,CAREDX INC,NSDQ,Y
CDNS,CADENCE DESIGN,NSDQ,Y
CDNW,CDNOW/N2K INC,,N
CDOR,CONDOR HOSPTLTY,NYSE,Y
CDOT,COMPS.COM INC,,N
CDP,CONSOL PAPERS,,N
CDR,CEDAR REALTY TR,NYSE,Y
CDRBQ,CODE REBEL CORP,OTC,Y
CDSCY,CADBURY PLC,,N
CDSG,CHINA DONGSHENG,OTC,Y
CDSI.,COMP DATA SYS,,N
CDSOQ,COMDISCO,,N
CDSW,CEDARA SOFTWARE,,N
CDT,CABLE DESIGN,,N
CDTI,CDTI ADV MATS,OTC,Y
CDTS,CONDUCTUS INC,,N
CDTX,CIDARA THERAPTC,NSDQ,Y
CDTX.,COLONIAL DATA,,N
CDURQ,DURANGO(CP)-ADR,OTC,N
CDV,CD&L INC,,N
CDVA,CHAMBERS DEVL-A,,N
CDVB,CHAMBERS DEVL,,N
CDVIQ,CAL DIVE INTL,OTC,Y
CDW,CDW CORP,NSDQ,Y
CDWC,CDW CORP,,N
CDWD,CLOUDWARD INC,OTC,Y
CDWR,CD WAREHOUSE,,N
CDX.,CATELLUS DVLPMT,,N
CDXC,CHROMADEX CORP,NSDQ,Y
CDXI,CARDAX INC,OTC,Y
CDXS,CODEXIS INC,NSDQ,Y
CDYCF,CARDERO RESOURC,OTC,Y
CDZI,CADIZ INC,NSDQ,Y
CE,CELANESE CORP,NYSE,Y
CE.1,CONCORD EFS INC,,N
CEA,CHINA EASTN-ADR,NYSE,Y
CEAI,CHINA EDUC ALNC,OTC,N
CEB,CEB INC,NYSE,N
CEBC,CENTENNIAL BCP,,N
CEBK,CENTRAL BANCORP,NSDQ,N
CEC,CEC ENTERTANMNT,TSX,N
CECE,CECO ENVIRNMNTL,NSDQ,Y
CECS,CECS CORP,,N
CECX,CHINA EXECUTIVE,OTC,N
CECX.,CASTLE ENERGY,,N
CEDCQ,CENTRAL EUR DIS,OTC,N
CEDU,CHINAEDU CP-ADR,NSDQ,N
CEFC,COMML NATL FINL,OTCBB,Y
CEG,CONSTELLATN EGY,TSX,N
CEGE,CELL GENESYS,,N
CEGMF,CERRO GRAND MNG,OTC,Y
CEGX,CARDINAL EGY GP,OTC,N
CEHD,CHINA ELECTRONC,OTC,Y
CEI,CAMBER ENERGY,NYSE,Y
CEI.,CRESCENT R E EQ,,N
CEIX,CONSOL ENERGY,NYSE,Y
CEL,CELLCOM ISRAEL,NYSE,Y
CEL.,GRUPO IUSACELL,,N
CELC,CELCUITY INC,NSDQ,Y
CELG,CELGENE CORP,NSDQ,N
CELH,CELSIUS HOLDING,NSDQ,Y
CELL,BRIGHTPOINT INC,,N
CELM,CHINA ELECTRIC,OTC,N
CELP,CYPRESS EGY PTR,NYSE,Y
CELS,COMMNET CELLULR,,N
CELTF,CENTAMIN PLC,OTC,Y
CEM.2,CHEMFIRST INC,,N
CEMI,CHEMBIO DIAGNOS,NSDQ,Y
CEMX,CEM CORP,,N
CEN.,CERIDIAN CP NEW,,N
CENF,CENTRAL FREIGHT,,N
CENF.,CENFED FINL CRP,,N
CENI.,CONESTOGA ENTRP,,N
CENL,CENTENNIAL TECH,,N
CENT,CENTRAL GARDEN,NSDQ,Y
CENTA,CENTRAL GARDN-A,NSDQ,Y
CENX,CENTURY ALUM CO,NSDQ,Y
CEO,CNOOC LTD ADR,NYSE,Y
CEPH,CEPHALON INC,,N
CEPU,CENT PUERTO-ADR,NYSE,Y
CEQP,CRESTWOOD EQTY,NYSE,Y
CER,CILCORP INC,,N
CERB,CERBCO INC  A,,N
CERC,CERECOR INC,NSDQ,Y
CERE,CERES INC,NSDQ,N
CERG,CERES GROUP INC,,N
CERN,CERNER CORP,NSDQ,Y
CERO,CONCERO INC,,N
CERPQ,CEREPLAST INC,OTC,Y
CERS,CERUS CORP,NSDQ,Y
CERTF,CERTICOM CORP,,N
CERX,COLOMBIA ENERGY,OTC,Y
CES,COMMWLTH EN SYS,,N
CESDY,CESP-CIA EN S P,OTC,N
CESI,CATALYTICA EGY,,N
CESV,CHINA EGY SVGS,,N
CET,CENTRAL SECS CP,NYSE,Y
CETC,HONGLI CLN EGY,NSDQ,N
CETH,CONVERGENCE ETH,,N
CETV,CENTL EUR MEDIA,NSDQ,Y
CETX,CEMTREX NEW,NSDQ,Y
CETY,CLEAN EGY TECH,OTC,Y
CEUS.,CAIRN ENRGY USA,,N
CEVA,CEVA INC,NSDQ,Y
CEVE,CERES VENTURES,OTC,Y
CEXE,CIRCLE ENTERTMT,OTC,Y
CEXP,CANNON EXPRESS,,N
CEXP.,CORP EXPRESS,,N
CF,CF INDUS HLDGS,NYSE,Y
CF.,CRESTAR FINL CO,,N
CF.2,CHARTER ONE FIN,,N
CFA.3,CHEMFAB CORP,,N
CFB,CROSSFIRST BKSH,NSDQ,Y
CFB.1,CITIZENS FST-NJ,,N
CFB.2,COMMERCIAL FED,,N
CFBC,COMMUNITY FIRST,,N
CFBI,COMMNTY FST BCS,NSDQ,Y
CFBK,CENTRAL FEDL CP,NSDQ,Y
CFBN.,CFB BANCORP INC,,N
CFBS,CENTRAL FID BKS,,N
CFBX,COMMNTY FST -ND,,N
CFC,COUNTRYWIDE FIN,,N
CFCB,CENTRUE FINL CP,NSDQ,N
CFCI,CFC INTL INC,,N
CFCM.,CHIEF CONS MNG,,N
CFCP,COASTAL FIN DEL,,N
CFCX,CENTER FINL-OLD,,N
CFFA,CF FINANCE ACQ,NSDQ,Y
CFFC,COMMNTY FINL VA,NSDQ,N
CFFI,C&F FINL CP,NSDQ,Y
CFFN,CAPITOL FEDL FN,NSDQ,Y
CFFS,COLUMBIA FIRST,,N
CFG,CITIZENS FIN GP,NYSE,Y
CFGI,CROWN FINL HLDG,OTC,N
CFHC,CALIF FINL HLDG,,N
CFHI,COAST FINL HLDG,,N
CFIB,CFI INDUSTRIES,,N
CFIC,COMMNTY FINL CO,,N
CFIN,CITIZENS FIN KY,OTC,Y
CFK,CE FRANKLIN LTD,,N
CFKY,COLUMBIA FNL KY,,N
CFL,BRINKS HOME SEC,,N
CFL.,CORESTATES FINL,,N
CFMS,CONFORMIS INC,NSDQ,Y
CFMT,CFM TECH INC,,N
CFN,CAREFUSION CORP,NYSE,N
CFNA,CNB FINL CP,,N
CFNB,CALIF FIRST NAT,OTC,Y
CFNL,CARDINAL FINL,NSDQ,N
CFON,C-PHONE CORP,,N
CFR,CULLEN FROST BK,NYSE,Y
CFRL,CRI LIQUIDATING,,N
CFRX,CONTRAFECT CORP,NSDQ,Y
CFS,COMFORCE CORP,,N
CFSB,CITIZENS FST FN,,N
CFSB.,CFSB BANCORP,,N
CFSG,CHINA FIRE&SEC,,N
CFSL,CHESTERFIELD FN,,N
CFWEQ,CONSOL FRGT CP,,N
CFWH,THE CENTER FOR,OTC,N
CFX,COLFAX CORP,NYSE,Y
CFX.,CFX CORP,,N
CG,CARLYLE GRP INC,NSDQ,Y
CG.1,COLUMBIA ENERGY,,N
CGA,CHINA GREEN AGR,NYSE,Y
CGA.2,CORUS GROUP PLC,,N
CGA.3,CORNERSTONE NAT,,N
CGBD,TCG BDC INC,NSDQ,Y
CGC,CANOPY GROWTH,NYSE,Y
CGC.,CASCADE NAT GAS,,N
CGC.2,CAPITAL GOLD CP,,N
CGCA.,COGENERATION CP,,N
CGCP,CARDIOGENESIS,,N
CGCP.,CARDIOGENES-OLD,,N
CGE,CENTRIS GRP INC,,N
CGEMY,CAPGEMINI SA,OTC,Y
CGEN,COMPUGEN LTD,NSDQ,Y
CGEN.,COLLAGEN AESTHC,,N
CGF.,CARR-GOTTSTEIN,,N
CGFC,CORAL GABLES,,N
CGFW,CYBERGUARD CORP,,N
CGGIQ,CARBIDE/GRAPHIT,,N
CGGYY,CGG,OTC,Y
CGI.,COMMERCE GRP-MA,,N
CGIPQ,CELADON GROUP,OTC,Y
CGIX,CANCER GENETICS,NSDQ,Y
CGLD.,CYBERGOLD INC,,N
CGLO,CORO GLOBAL INC,OTC,Y
CGMCQ,CONGOLEUM CORP,,N
CGNE,CALGENE INC,,N
CGNH,CARDIOGENICS HL,OTC,Y
CGNT,COGENTIX MEDICL,NSDQ,N
CGNX,COGNEX CORP,NSDQ,Y
CGP.,COASTAL CORP,,N
CGPI,CHINA REDSTONE,OTC,N
CGPI.,COLLAGENEX PHAR,,N
CGRB,COUGAR BIOTECH,,N
CGRM,CENTIGRAM COMMS,,N
CGRO.,CROP GROWERS CP,,N
CGRTQ,COOKER RESTAURT,,N
CGSYQ,CAPITAL GROWTH,OTC,N
CGUE,CAREGUIDE INC,OTC,N
CGUL,MARGATE INDS,,N
CGW.,CRISTALERIAS DE,,N
CGX,CONSOL GRAPHICS,TSX,N
CGXP,CERAGENIX PHARM,OTC,N
CGY.1,CAPITAL GTY CP,,N
CGYG,CHINA LONGYI GP,OTC,Y
CGYV,CHINA EGY RECOV,OTC,Y
CHA,CHINA TELCM-ADR,NYSE,Y
CHA.,CHAMPION INTL,,N
CHADQ,CHAD THERAP INC,OTC,N
CHAG,CHANCELLOR GP,OTC,Y
CHANF,CHANDLER INS,,N
CHAP,CHAPARRAL EGY,NYSE,Y
CHAP.,CHAPARRAL STEEL,,N
CHAR,CHAPARRAL RES,,N
CHBAY,CHIBA BANK LTD,OTC,Y
CHBD,BERNARD CHAUS,,N
CHBT,CHINA-BIOTICS,OTC,N
CHBU,CHINA AGRI BUSI,OTC,Y
CHC,CHINA HYDRO-ADS,NYSE,N
CHCI,COMSTOCK HMBLDG,NSDQ,Y
CHCJY,CHINA CITIC BNK,OTC,Y
CHCO,CITY HLDGS CO,NSDQ,Y
CHCR,COMPREHENS CARE,OTCBB,Y
CHCT,COMM HLTHCR TR,NYSE,Y
CHCX,CTGX MINING INC,OTC,Y
CHD,CHURCH & DWIGHT,NYSE,Y
CHDN,CHURCHILL DOWNS,NSDQ,Y
CHDX,CHINDEX INTL,NSDQ,N
CHE,CHEMED CORP,NYSE,Y
CHEF,CHEFS WAREHOUSE,NSDQ,Y
CHEF.,CHEFS INTL INC,,N
CHEK,CHECK CAP LTD,NSDQ,Y
CHEL,CHELL GRP CP,,N
CHEM.,CHEM POWER,,N
CHER,CHERRY CORP,,N
CHERA,CHERRY CP CL-A,,N
CHEUY,CHEUNG KONG HLD,OTC,N
CHEV,CHEVIOT FINL CP,NSDQ,N
CHEZQ,SUPREMA SPECIAL,,N
CHF.,CHOCK FULL NUTS,,N
CHFFF,CHINA EVERBRIHT,OTC,Y
CHFI,CHINA FIN INC,OTC,Y
CHFN,CHARTER FINL CP,NSDQ,N
CHFS,CHF SOLUTIONS,NSDQ,Y
CHG.2,CH ENERGY GRP,,N
CHGG,CHEGG INC,NYSE,Y
CHGI,CHINA CARBON GR,OTC,Y
CHGNF,AES CHINA GENR,,N
CHGS,CHINA GENGSHENG,OTC,Y
CHGT,CHANGING TECH,OTC,Y
CHH,CHOICE HTL INTL,NYSE,Y
CHHE,CHINA HLTH INDU,OTC,Y
CHHP,C&D TECH INC,,N
CHI.2,CHARLOTTE RUSSE,,N
CHIK.,GOLDEN POULTRY,,N
CHIR.,CHIRON CORP,,N
CHJI,CHINA CHANGJIAN,OTCBB,Y
CHK,CHESAPEAKE ENGY,NYSE,Y
CHKJ,CHEROKEE BNKNG,OTC,N
CHKP,CHECK PT SOFTW,NSDQ,Y
CHKR,CHESAPEAKE GRNT,OTC,Y
CHKR.,CHECKERS DRIVE,,N
CHL,CHINA MOBLE-ADR,NYSE,Y
CHLD,COLONIAL HLDGS,,N
CHLE,CENTENNIAL SPTY,OTC,Y
CHLN,CHINA HOUSING,NSDQ,N
CHLN.,CHALONE WINE GP,,N
CHMA,CHIASMA INC,NSDQ,Y
CHMD.,CHRONIMED INC,,N
CHME,CHINA MEDICINE,OTC,Y
CHMG,CHEMUNG FINL,NSDQ,Y
CHMI,CHERRY HILL MTG,NYSE,Y
CHMP,CHAMPION INDS,OTC,Y
CHMT,CHEMTURA CORP,NYSE,N
CHNG,CHANGE HEALTHCR,NSDQ,Y
CHNGQ,CHINA NATRL GAS,OTC,Y
CHNL,CHANNELL COMM,,N
CHNR,CHINA NATRL RES,NSDQ,Y
CHO.,CAPSTAR HOTEL,,N
CHOLY,CHINA OILFIELD,OTC,N
CHOPF,CHINA GERUI ADV,OTC,Y
CHPC,CHIPPAC INC,,N
CHPM,CHP MERGER CP,NSDQ,Y
CHPM.,CHIPCOM CORP,,N
CHPS,CHIPS & TECH,,N
CHPTY,CSPC PHARMA-ADR,OTC,N
CHQGF,CHALLENGER EGY,,N
CHRA,CHARAH SOLUTION,NYSE,Y
CHRD,CHORDIANT SFTWR,,N
CHRI.,COHR INC,,N
CHRK,CHEROKEE INTL,,N
CHRM,CHARM COMM-ADR,NSDQ,N
CHRN,CHINA HUAREN OG,OTC,N
CHRS,COHERUS BIOSC,NSDQ,Y
CHRS.,CHARMING SHOPPE,,N
CHRT,CHARTERED SEMI,,N
CHRW,CH ROBINSON WWD,NSDQ,Y
CHRX.,CHIREX INC,,N
CHRXQ,CHEM RX CORP,,N
CHRYY,CHORUS LTD-ADR,OTC,Y
CHS,CHICOS FAS INC,NYSE,Y
CHSCP,CHS INC,NSDQ,Y
CHSI,CATALYST HEALTH,,N
CHSP,CHESAPEAKE LODG,NSDQ,N
CHSTY,CHINA HIGH SPEE,OTC,Y
CHSWQ,CHS ELECTRONICS,,N
CHT,CHUNGHWA TELECM,NYSE,Y
CHTL.,CHANTAL PHARMA,,N
CHTP,CHELSEA THERAP,NSDQ,N
CHTR,CHARTER COMM-A,NSDQ,Y
CHTRQ,CHARTER COM-OLD,,N
CHTT,CHATTEM INC,,N
CHU,CHINA UNICOM,NYSE,Y
CHUBA,COMMERCEHUB-A,NSDQ,N
CHUBB,COMMERCEHUB-B,OTC,N
CHUBK,COMMERCEHUB-C,NSDQ,N
CHUC,CHARLIES HOLDNG,OTC,Y
CHUX,OCHARLEYS INC,NSDQ,N
CHUY,CHUYS HOLDINGS,NSDQ,Y
CHV,CHURCHILL VENTR,,N
CHW.,CHEMICAL WASTE,,N
CHWTY,COOLPAD GROUP,OTC,N
CHWY,CHEWY INC,NYSE,Y
CHYCY,CHIYODA CORP,OTC,Y
CHYI,CHYKINGYOUNG ID,OTC,Y
CHYL,CHINA SR LIVING,OTC,Y
CHYR,CHYRONHEGO CORP,NSDQ,N
CHZ,CHITTENDEN CORP,,N
CHZ.1,CAREER HORIZONS,,N
CHZS,COMP HORIZONS,OTC,N
CI,CIGNA CORP,NYSE,Y
CIA,CITIZENS INC  A,NYSE,Y
CIADY,CHINA MENGNIU,OTC,Y
CIB,BANCOLOMBIA-ADR,NYSE,Y
CIBC.,CITIZENS BCP-MD,,N
CIBH,CIB MARINE BANC,OTC,Y
CIBM,CADEMA CORP,,N
CIBN,COMMNTY INVS BC,OTC,Y
CIBN.,CALIF IND BNCP,,N
CIBSF,CARDIO3 BIOSCI,OTC,N
CIC.1,CARSON INC,,N
CIC.3,CONTL CORP,,N
CICC,CHINA INTRN CAF,OTC,Y
CICHY,CHINA CONSTR BK,OTC,Y
CICN,CICERO INC,OTC,Y
CICOY,CHINA COSCO HLD,OTC,Y
CID.,CHIEFTAIN INTL,,N
CIDHF,CHINA AGRI IND,OTC,N
CIDM,CINEDIGM CORP,NSDQ,Y
CIDN,COMP IDENTICS,,N
CIEIQ,COBALT INTL EGY,OTC,Y
CIEN,CIENA CORP,NYSE,Y
CIFC,CIFC LLC,NSDQ,N
CIFS,CHINA INTERNET,NSDQ,Y
CIG,CEMIG SA -ADR,NYSE,Y
CIG.,CONS CIGAR HLDG,,N
CIGI,COLLIERS INT GP,NSDQ,Y
CIGIQ,COACH INDUS GRP,,N
CIGW,CIG WIRELESS CP,OTCBB,N
CIH,CHINA INDEX-ADR,NSDQ,Y
CIHD,CHANGDA INTL HL,OTC,N
CIHKY,CHINA MERCH BK,OTC,Y
CII.3,CII FINL,,N
CIIC.,CHINA INFRASTR,,N
CIIG,COLOR IMAGING,OTC,Y
CIII,CENTRUM INDS,,N
CIIX,CHINESEINVESTRS,OTCBB,Y
CILE,CHINA INTELLGNT,,N
CIM,CHIMERA INVEST,NYSE,Y
CIMA,CIMA LABS INC,,N
CIMC,CIMCO INC,,N
CIMT,CIMATRON LTD,NSDQ,N
CIN,CINERGY CORP,,N
CIN2,PSI RESOURCES,,N
CINDE,CHINA INDL GRP,,N
CINE,CINERGI PICTURE,,N
CINF,CINCINNATI FINL,NSDQ,Y
CINR,CINER RESOURCES,NYSE,Y
CINRB,CINAR CORP CL-B,,N
CIO,CITY OFFIC REIT,NYSE,Y
CIOIF,CARILLION PLC,OTC,N
CIOXY,CIELO SA ADR,OTC,Y
CIP..,CIPSCO INC,,N
CIR,CIRCOR INTL,NYSE,Y
CIRX,CIRTRAN CORP,,N
CIS,CAMELOT INF-ADS,NYSE,N
CISC,CONTL INFO SYS,OTC,N
CISN,CISION LTD,NSDQ,N
CIT,CIT GROUP,NYSE,Y
CITA,CITATION COMPUT,,N
CITC.,CITADEL COMM,,N
CITGQ,CIT GROUP INC,,N
CITI,CANTERBURY CONS,OTC,N
CITI.,CITICASTERS INC,,N
CITP,COMSYS IT PTNRS,,N
CITY,AVALON CORR SVC,OTC,Y
CITZ,CFS BANCORP,NSDQ,N
CIV,CONECTIV INC,,N
CIVB,CIVISTA BANCSH,NSDQ,Y
CIVC,CIVIC BANCORP,,N
CIVI,CIVITAS SOLUTNS,NYSE,Y
CIVN,CHINA INTERACT,,N
CIWT,CHINA INDUS WST,OTC,Y
CIX,COMPX INTL INC,NYSE,Y
CIZN,CITIZENS HLDG,NSDQ,Y
CJ,C&J ENERGY SVCS,NYSE,N
CJBK,CENTRAL JRSY BC,,N
CJCL,CELLCOM 1 CORP,,N
CJER,CENTRL JRSY BCP,,N
CJESQ,C&J ENERGY SVCS,OTC,N
CJEWY,CHOW TAI FOOK,OTC,Y
CJFC,CENTRL JRSY FIN,,N
CJHBQ,CHAMPION ENTRP,,N
CJJD,CHINA JO-JO DRG,NSDQ,Y
CJML,CONE MILLS,,N
CJPRY,CENTRAL JAPAN,OTC,Y
CJREF,CORUS ENTMT-B,OTC,Y
CK.,CAREMARK INTL,,N
CKCM,CLICK COMMERCE,,N
CKCRQ,COLLINS&AIK CP,,N
CKEC,CARMIKE CINEMA,NSDQ,N
CKFB,CKF BANCORP INC,,N
CKFC,CLARKSTON FINCL,OTC,N
CKFR,CHECKFREE CORP,,N
CKGRQ,CRUSADER ENERGY,,N
CKGT,CHINA KANGTAI,OTC,N
CKH,SEACOR HLDGS,NYSE,Y
CKHUY,CK HUTCHISN HLD,OTC,Y
CKI.,CASTLE &CKE-OLD,,N
CKL,CLARK EQUIPMENT,,N
CKNN,CASH SYS INC,,N
CKP,CHECKPOINT SYS,NYSE,N
CKPT,CHECKPOINT THER,NSDQ,Y
CKR,CKE RESTAURANTS,,N
CKSG,CKS GROUP INC,,N
CKSW,CLICKSOFTWARE,NSDQ,N
CKUN,CHINA SHENGHUO,OTC,N
CKX,CKX LANDS INC,ARCA,Y
CKXE,CKX INC,,N
CL,COLGATE PALMOLI,NYSE,Y
CLAC.,CLICKACTION INC,,N
CLAD,CHINA LIAONING,OTC,Y
CLAR,CLARUS CORP,NSDQ,Y
CLAR.,CLARION TECH,,N
CLAS,CLASSIC BANCSHS,,N
CLAY,CLAYTON HOLDING,,N
CLB,CORE LABS NV,NYSE,Y
CLBC.,CLUB CAR INC,,N
CLBH,CAROLINA BK HLD,NSDQ,N
CLBK,COLUMBIA FINL,NSDQ,Y
CLBK.,COMML BNCSH FL,,N
CLBRQ,CALIBER LEARNNG,,N
CLBS,CALADRIUS BIOSC,NSDQ,Y
CLC,CLARCOR INC,NYSE,N
CLCD,COLUCID PHARMA,NSDQ,N
CLCN,CREATIVE LEARNG,OTCBB,Y
CLCP,CALCOMP TECH,,N
CLCT,COLLECTORS UNIV,NSDQ,Y
CLCXQ,COMPUTER LEARNG,OTC,N
CLDA,CLINICAL DATA,,N
CLDB,CORTLAND BANCP,NSDQ,Y
CLDE,CALDERA CORP,,N
CLDPQ,CLOUD PEAK EGY,OTC,Y
CLDR,CLOUDERA INC,NYSE,Y
CLDRQ,CALDOR CORP,,N
CLDT,CHATHAM LODGING,NYSE,Y
CLDX,CELLDEX THERAPT,NSDQ,Y
CLE,CLAIRES STORES,,N
CLF,CLEVELAND-CLIFF,NYSE,Y
CLFC,CENTER FINL CP,,N
CLFD,CLEARFIELD INC,NSDQ,Y
CLFY,CLARIFY INC,,N
CLG.2,COLONIAL GAS,,N
CLGN,COLLPLANT BIOTC,NSDQ,Y
CLGRF,CLAUDE RSRCS,OTC,N
CLGX,CORELOGIC INC,NYSE,Y
CLGZF,HUTECH21 CO LTD,OTC,Y
CLH,CLEAN HARBORS,NYSE,Y
CLHI,CLST HOLDINGS,OTC,Y
CLI,MACK CALI CORP,NYSE,Y
CLIC,CALICO COMMERCE,,N
CLIGF,CLINIGEN GP PLC,OTC,Y
CLIN,CLINICOM INC,,N
CLIR,CLEARSIGN TECH,NSDQ,Y
CLIX.,COMPRESSION LAB,,N
CLJ,CRESTLINE CAP,,N
CLK,CLARK INC,,N
CLKAD,CLIKIA CORP,OTC,Y
CLKZ,CLICKER INC,OTC,N
CLL,CELLTECH GP PLC,,N
CLLDY,CAPITALAND LTD,OTC,Y
CLLS,CELLECTIS-ADR,NSDQ,Y
CLMS,CALAMOS ASSET-A,NSDQ,N
CLMT,CALUMET SPECLTY,NSDQ,Y
CLMT.,CLAREMONT TECH,,N
CLN.2,COLEMAN INC NEW,,N
CLNC,COLONY CREDT RE,NYSE,Y
CLNE,CLEAN EGY FUELS,NSDQ,Y
CLNH,CLINIGENCE HLD,OTC,Y
CLNH.,CENTERLINE HLDG,,N
CLNJZ,CLARION COM HLD,,N
CLNT.,CLEARNET COMM-A,,N
CLNY,COLONY CAPITAL,NYSE,Y
CLNY2,COLONY CAP-OLD,,N
CLOK,CIPHERLOC CORP,OTC,Y
CLP,COLONIAL PPTYS,NYSE,N
CLPA,CELL PATHWAYS,,N
CLPBY,COLOPLAST AS AD,OTC,Y
CLPHY,CLP HLDGS-ADR,OTC,Y
CLPO,CALPROP CORP,,N
CLPR,CLIPPER REALTY,NYSE,Y
CLPS,CLPS INC,NSDQ,Y
CLPT,CLEARPOINT NEUR,NSDQ,Y
CLPTQ,CELLPOINT INC,,N
CLR,CONTL RESOURCES,NYSE,Y
CLRA,CLEARANT INC,,N
CLRB,CELLECTAR BIOSC,NSDQ,Y
CLRI.,COMP LANG RESEA,,N
CLRK,COLOR KINETICS,,N
CLRN,CLARENT CORP,OTC,Y
CLRO,CLEARONE INC,NSDQ,Y
CLRP,CELLULAR COMM,,N
CLRT,CLARIENT INC,,N
CLS,CELESTICA INC,NYSE,Y
CLSC,COBALIS CORP,,N
CLSCQ,CLASSIC COMM,,N
CLSD,CLEARSIDE BIO,NSDQ,Y
CLSK,CLEANSPARK INC,NSDQ,Y
CLSN,CELSION CORP,NSDQ,Y
CLSP,CALLISTO PHARMA,OTC,N
CLSR.,CLOSURE MEDICAL,,N
CLT.,COMINCO LTD,,N
CLTLF,COMPLETEL EURO,,N
CLTR.,COULTER PHARMA,,N
CLTS,EARTH LIFE SCI,OTC,Y
CLTX2,COLLATERAL THER,,N
CLTY,CELERITY SOLS,OTC,Y
CLU,CELLU TISSUE HL,TSX,N
CLU.3,CDA LIFE FINL,,N
CLUB,TOWN SPORTS INT,NSDQ,Y
CLVAZ,CLASSIC VACATIO,,N
CLVS,CLOVIS ONCOLOGY,NSDQ,Y
CLW,CLEARWATER PAPR,NYSE,Y
CLWA,CALLWAVE INC,OTC,Y
CLWD,CLOUDCOMMERCE,OTC,Y
CLWR,CLEARWIRE CORP,NSDQ,N
CLWT,EUROTECH HLDGS,NSDQ,Y
CLWY,CALLOWAYS NURSY,OTC,Y
CLX,CLOROX CO,NYSE,Y
CLXT,CALYXT INC,NSDQ,Y
CLXX.,CELLEX BIOSCI,,N
CLYS,CATALYST INTL,,N
CLZR,CANDELA CORP,,N
CM,CDN IMPL BK,NYSE,Y
CM.1,COLES MYER LTD,,N
CMA,COMERICA INC,NYSE,Y
CMAG,CASINO MAGIC,,N
CMALQ,CASUAL MALE CP,,N
CMAX.,CABLEMAXX HLDGS,,N
